dupdate,filename,hashfile,typehash
"2021-01-29 18:55:59",DPLM070201S0700401.ZIP,bbb9056a3f69d8da8d75142024c46eea,"md5_file (php)"
"2021-01-29 18:56:15",DNPLM070201S0700401.ZIP,722337cae8de3032f4c2111312319d01,"md5_file (php)"
"2021-02-15 15:32:45",DPLM070807S0700401.ZIP,99e8d7c3ad2dabb10adff4a334afb40c,"md5_file (php)"
"2021-02-15 15:32:55",DNPLM070807S0700401.ZIP,fd24194e37721a61449c17218d3809d9,"md5_file (php)"
"2021-02-16 10:02:28",DPLM070906S0700401.ZIP,39311d8350ad69a04b0ead1feaed8dc6,"md5_file (php)"
"2021-02-16 10:02:44",DNPLM070906S0700401.ZIP,9d329820ed2c4d5fbf17191c61adda21,"md5_file (php)"
"2021-02-16 09:30:18",DPLM070103S0700401.ZIP,ddb42ad167224c951c96770336122bd1,"md5_file (php)"
"2021-02-16 09:30:18",DNPLM070103S0700401.ZIP,586ba3f9c1778e39a297c69455f74005,"md5_file (php)"
"2021-02-12 15:23:07",DPLM070105S0700401.ZIP,48a6c50ba24006a964a6a2c031925093,"md5_file (php)"
"2021-02-12 15:23:07",DNPLM070105S0700401.ZIP,9061e92950ad07e61e11104aa827029d,"md5_file (php)"
"2021-02-15 18:11:23",DPLM070616S0700401.ZIP,824915f5c6c624d85b96de4b2ccc4bb4,"md5_file (php)"
"2021-02-15 18:11:56",DNPLM070616S0700401.ZIP,927dbc2a4b5418047eed4e9abd5f0b21,"md5_file (php)"
"2021-02-13 13:27:09",DPLM071103S0700401.ZIP,1e8a0ae677bc31b8f3541aeaa492da1f,"md5_file (php)"
"2021-02-13 13:27:19",DNPLM071103S0700401.ZIP,b8d39a6d2a54f73eb3279253604ae1cf,"md5_file (php)"
"2021-02-15 21:00:42",DPLM070570S0700401.ZIP,cfaabccbfebbd0aea75bc7a543774949,"md5_file (php)"
"2021-02-15 21:01:51",DNPLM070570S0700401.ZIP,3ab6e77774445c13290995e11cef8794,"md5_file (php)"
"2020-01-02 12:56:56",DPLM070560S0700401.ZIP,77577b2a2899a71767b021d70eb2157c,"md5_file (php)"
"2020-01-02 12:56:56",DNPLM070560S0700401.ZIP,618265d9d7121da419048901e2f063fb,"md5_file (php)"
"2021-02-16 10:08:25",DPLM071106S0700401.ZIP,e228d93dbfe72e2c2f4e9fdd39230171,"md5_file (php)"
"2021-02-16 10:08:25",DNPLM071106S0700401.ZIP,b42b372ec115a42d2d10f7b09c0774c2,"md5_file (php)"
"2020-01-14 13:44:30",DPLM070512S0700401.ZIP,40cfbebdfb5b5afc950ff68a50ba6518,"md5_file (php)"
"2020-01-14 13:44:30",DNPLM070512S0700401.ZIP,afd8c45547b6f4100ffc683e8ac1ca84,"md5_file (php)"
"2021-02-16 16:50:30",DPLM071001S0700401.ZIP,19db297483e0ec84d2ab08d6524a2b2b,"md5_file (php)"
"2021-02-16 16:50:34",DNPLM071001S0700401.ZIP,6cffdb496494dece2d8727f5c3328782,"md5_file (php)"
"2021-02-12 13:56:08",DPLM070571S0700401.ZIP,bc7acad15721aef48045af9d64d0b20f,"md5_file (php)"
"2021-02-12 13:56:16",DNPLM070571S0700401.ZIP,a222a5981e89179bb8d0741487963eb1,"md5_file (php)"
"2021-02-16 18:07:03",DPLM070510S0700401.ZIP,4aa46abdce44d12898549f0be00ab3cd,"md5_file (php)"
"2021-02-16 18:07:08",DNPLM070510S0700401.ZIP,79ff28cd4f05c4f69dfcbfca8e76f904,"md5_file (php)"
"2020-10-08 11:13:42",DPLMbudaeva.larisaS0700401.ZIP,b28de254a05e3e5ca25d9c0c97c80215,"md5_file (php)"
"2020-10-08 11:13:43",DNPLMbudaeva.larisaS0700401.ZIP,6c66cbdfd86280b2f263467423c53fc7,"md5_file (php)"
"2021-02-12 15:45:59",DPLMadminS0700401.ZIP,96edee2d795d9b2d21abae669365df05,"md5_file (php)"
"2021-02-12 15:45:59",DNPLMadminS0700401.ZIP,4509f4586a40136462ebfbb2c02b4e3f,"md5_file (php)"
"2021-02-15 17:48:56",DPLM070405S0700401.ZIP,330ce8cddecd58ae3ed624091748e4bd,"md5_file (php)"
"2021-02-15 17:49:08",DNPLM070405S0700401.ZIP,87b5cc0c1d74ab69f81dd55d282d1bc1,"md5_file (php)"
"2021-02-16 10:21:33",DPLM070714S0700401.ZIP,c1449ccc4cc357aab206b04f8df7515a,"md5_file (php)"
"2021-02-16 10:21:35",DNPLM070714S0700401.ZIP,efb6d171d704839109c2dfe136222ee8,"md5_file (php)"
